,breakfast,texts,had_breakfast
0,A,15,False
1,A,286,False
2,B,0,True
3,B,0,True
4,B,1439,True
5,A,3,False
6,A,18,False
7,A,0,False
8,B,0,True
9,A,0,False
10,A,0,False
11,B,0,True
12,A,3,False
13,A,1100,False
14,B,15,True
15,B,1100,True
16,A,17,False
17,A,3,False
18,B,17,True
19,A,10,False
20,A,0,False
21,A,1,False
22,A,0,False
23,A,3,False
24,A,217,False
25,A,286,False
26,B,431,True
27,A,245,False
28,B,0,True
29,A,10,False
30,B,0,True
31,A,0,False
32,A,10,False
33,B,1618,True
34,B,0,True
35,C,25,False
36,A,146,False
37,A,5,False
38,A,3,False
39,A,0,False
40,A,106,False
41,A,0,False
42,A,111,False
43,B,43,True
44,A,870,False
45,A,237,False
46,A,0,False
47,A,8562,False
48,A,74,False
49,A,1,False
50,A,0,False
51,A,160,False
52,B,0,True
53,B,5,True
54,A,5,False
55,A,1000,False
56,A,2,False
57,A,0,False
58,A,10,False
59,A,800,False
60,A,158,False
61,A,15,False
62,B,35,True
63,A,2,False
64,B,4,True
65,B,5,True
66,B,37,True
67,B,0,True
68,B,107,True
69,A,5,False
70,B,4,True
71,B,8,True
72,A,4,False
