id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,92,3,198,2022-05-22,2.19,1,326,15,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,90,2,446,2022-05-25,2.83,1,283,45,R21000075737
450648,Luxury Space - Come & Relax,2204693,Dl,,Loop,41.86765,-87.62271,Private room,119,32,38,2018-06-21,0.31,1,0,0,City registration pending
2459132,Conveniently Located!,12059561,Rick,,Portage Park,41.96703,-87.75087,Private room,325,2,67,2017-05-21,0.68,1,87,0,City registration pending
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,152,4,46,2022-05-01,0.47,8,84,19,2209984
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92518,-87.69549,Entire home/apt,48,2,644,2021-06-13,5.40,1,0,1,R17000017731
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92357,-87.64947,Private room,339,2,8,2022-06-05,0.09,1,163,2,R20000055258
2471876,Bright&Modern Condo in the Heart of the Best Loop,6169870,Bora,,Near West Side,41.88209,-87.65127,Entire home/apt,168,5,53,2022-06-03,0.56,1,28,14,City registration pending
24833,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,,Lincoln Park,41.925961,-87.656364,Entire home/apt,86,32,40,2022-04-23,0.27,4,313,3,City registration pending
2479175,Cozy Garden-Subterranean Apartment,12681444,Jenny,,Lincoln Square,41.96316,-87.69208,Entire home/apt,88,2,220,2022-06-07,2.22,1,48,31,R17000017830
484898,Charming 1906 cottage Northside,2400107,Allison,,Uptown,41.96978,-87.67389,Entire home/apt,232,7,15,2022-06-09,0.12,1,332,1,R17000013890
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,101,2,343,2022-06-05,2.84,1,165,46,R17000017576
25879,2/1 One  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,132,32,49,2022-05-14,0.34,4,273,2,City registration pending
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,157,3,272,2022-05-08,2.24,1,265,12,R17000015045
2487272,U of C Hospital/Campus Rooms,12728248,Judy,,Hyde Park,41.79777,-87.58943,Private room,91,7,6,2022-05-22,0.13,4,68,3,R17000018647
28749,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Lauri,,Logan Square,41.92138,-87.67931,Entire home/apt,250,2,145,2022-05-29,1.03,1,311,52,R22000079930
2499596,Vintage Apartment in the Heart of the Ukrainian Village,2768314,Jason,,West Town,41.90006,-87.68096,Entire home/apt,176,4,166,2022-05-28,1.66,1,146,10,R17000013566
2515629,"Clean, Quiet, Private Room with private bathroom",12877384,Tanya,,East Garfield Park,41.88152,-87.69768,Private room,34,4,145,2022-05-15,1.51,3,199,14,R21000073422
548905,Home Away From Home,2698691,LeeO'[Nardo],,Grand Boulevard,41.82295,-87.6156,Entire home/apt,93,32,252,2022-05-24,2.12,3,329,23,City registration pending
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97303,-87.66567,Private room,110,3,250,2020-03-15,1.73,2,0,0,R20000059426
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,45,32,55,2022-05-01,0.46,2,147,11,R17000015627
585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88986,-87.66039,Private room,69,32,135,2022-03-03,1.12,6,305,7,R20000053637
2519442,"Warm Cozy Guest Suite, Private Bath",7858620,Cynthia,,Washington Park,41.79606,-87.62382,Private room,82,2,91,2022-06-05,0.92,1,335,9,R17000013595
67940,Lovely 1BR Private Condo Steps From McCormick Pl!,183546418,Molly,,Near South Side,41.84576,-87.61871,Entire home/apt,90,1,78,2022-06-06,0.58,1,172,61,City registration pending
2543231,Private room near Downtown,2850286,Amado,,Lower West Side,41.85669,-87.65132,Private room,65,32,244,2022-05-09,2.44,1,88,23,City registration pending
585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,,West Town,41.89001,-87.66069,Private room,87,1,143,2020-03-08,1.19,6,305,0,R20000053637
589939,"Recent Price Drop, awesome area!",2885441,Tracy,,West Town,41.89171,-87.66237,Shared room,69,32,66,2020-02-17,0.55,6,311,0,City registration pending
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,66,2,91,2022-06-04,0.68,2,262,21,R17000013986
628149,Great for Students! Affordability+Location,2885441,Tracy,,West Town,41.89134,-87.66254,Private room,62,1,99,2021-10-16,0.83,6,309,2,R20000053637
2564678,Even Cowgirls Get The Blues Rm.,5654677,Urban Art,,South Lawndale,41.85295,-87.70686,Private room,45,32,7,2021-09-13,0.08,4,179,1,City registration pending
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,68,2,105,2022-06-04,0.77,2,281,23,R17000013986
2583929,Next to McCormick Desk WIFI w/ KING BED +Laundry,3965428,Rob,,Near South Side,41.85226,-87.62299,Entire home/apt,120,60,16,2018-06-02,0.16,69,306,0,City registration pending
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,80,14,0,,,1,318,0,R22000082956
2604454,Cozy Single-Family Home near University of Chicago,13339125,Greg,,Hyde Park,41.79077,-87.58937,Entire home/apt,125,1,103,2020-02-16,1.08,1,0,0,R17000013467
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,70,2,96,2022-06-06,0.81,2,301,13,R18000034164
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,293,2,46,2022-05-06,0.57,22,334,8,2209272
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,221,7,64,2022-04-23,1.31,1,0,7,R21000061279
2661465,GREAT LOCATION SPECTACULAR VIEWS + BALCONY,3965428,Rob,,Loop,41.88765,-87.61765,Entire home/apt,160,32,25,2018-06-29,0.25,69,314,0,City registration pending
2679456,2BD Great Views Modern Luxury  w/POOL,3965428,Rob,,Near South Side,41.85255,-87.62121,Entire home/apt,200,120,6,2015-06-24,0.06,69,279,0,City registration pending
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,246,3,578,2022-05-16,4.42,1,122,43,R21000062936
2693387,"The Bucktown Penthouse Family, Business, Friends",13783917,Nora,,West Town,41.91387,-87.67182,Entire home/apt,284,1,128,2022-05-15,2.19,2,188,16,R20000051982
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99178,-87.75747,Private room,65,2,80,2022-06-05,0.70,2,303,12,R21000075759
207218,Historic Pullman Artist Flat - Artists & Explorers,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,100,2,285,2022-05-31,2.18,3,274,13,R21000073121
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99405,-87.75746,Private room,60,2,76,2022-05-31,0.71,2,312,10,City registration pending
2695259,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,13793246,Kristi,,Lake View,41.93308,-87.6511,Entire home/apt,292,32,149,2022-05-31,2.57,1,265,30,City registration pending
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50,32,44,2022-01-30,0.34,3,101,3,R21000073121
2715815,GROCERY STORE DOWNSTAIRS | KING SIZE BED | BALCONY,3965428,Rob,,Near South Side,41.85361,-87.62434,Entire home/apt,120,32,15,2020-07-03,0.15,69,252,0,City registration pending
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,,Near North Side,41.90437,-87.6335,Entire home/apt,92,32,155,2022-04-30,1.42,2,256,4,City registration pending
220333,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,100,32,1,2011-10-17,0.01,3,307,0,
724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,,West Town,41.88999,-87.66227,Private room,62,32,135,2021-11-19,1.15,6,320,3,R20000053637
2730613,Sweet Spacious Suite: Country in the City,13975150,Janine,,Morgan Park,41.68451,-87.67925,Entire home/apt,90,7,139,2022-05-18,1.42,2,78,6,R21000073319
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,79,2,20,2019-10-14,0.17,1,230,0,R20000054219
2731202,"Cozy ""Faux"" Cabin Suite /Fireplace",13975150,Janine,,Morgan Park,41.68451,-87.67913,Entire home/apt,89,30,144,2022-05-14,1.66,2,6,2,R21000073319
2819982,"McCormick Modern New 2 beds Luxury , Pool, HotTub",3965428,Rob,,Near South Side,41.85247,-87.62204,Entire home/apt,200,60,8,2016-12-02,0.08,69,245,0,City registration pending
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,170,180,39,2018-04-25,0.30,1,358,0,City registration pending
2824585,#54-Home away from home- Safe place,13389580,Ed,,Dunning,41.9443,-87.79831,Private room,45,32,28,2021-12-01,0.29,2,84,4,R17000013486
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,140,2,697,2022-05-28,5.95,4,24,66,R22000080211
258253,Studio Apartment Unit 4,1358243,June,,West Ridge,42.0076,-87.6825,Entire home/apt,48,33,26,2022-03-11,0.20,2,253,4,398144   Chicago:   R190000050938
727847,Palmer Treehouse - Bedroom 2,62150,Anne,,Logan Square,41.92278,-87.70422,Private room,70,32,74,2022-03-20,0.63,3,321,2,City registration pending
2832376,Modern 1 Bedroom w/POOL HOT TUB Luxury,3965428,Rob,,Near South Side,41.85434,-87.62194,Entire home/apt,135,32,7,2018-07-07,0.07,69,252,0,City registration pending
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,204,32,67,2021-10-17,0.55,1,306,2,City registration pending
2836339,Stay In the Center w/ Pool Gym Long Term Furnished,3965428,Rob,,Near North Side,41.89098,-87.62238,Entire home/apt,155,100,5,2015-01-18,0.05,69,357,0,
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,132,7,195,2022-04-24,1.80,1,176,8,R17000020094
289689,"29 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,32,30,64,2021-10-31,0.50,1,190,1,R21000062931
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.93115,-87.71836,Entire home/apt,89,32,24,2021-10-31,0.22,4,231,1,City registration pending
289884,"Rad Home with Mid-Century Vibe, Parking & Laundry",1500490,Hailey,,Logan Square,41.92063,-87.68353,Entire home/apt,328,1,92,2022-06-08,0.76,1,315,11,R21000075554
2844042,"Relax in a Custom, Creative, Artsy, Unique Apartment in West Town",8813383,Mindy + Tony,,West Town,41.89288,-87.68458,Entire home/apt,84,28,156,2022-01-17,1.59,3,215,6,R21000073802
290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,,Bridgeport,41.82712,-87.64046,Entire home/apt,130,32,50,2020-03-17,0.39,2,0,0,2074659
2874486,Gorgeous Penthouse with Stunning Views from Private Rooftop,14692157,Ross,,West Town,41.90026,-87.66871,Entire home/apt,234,2,167,2022-05-27,2.41,1,106,55,R21000071753
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla Yatkin And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85,2,114,2022-05-16,1.05,1,167,16,R21000072699
