user_id,game_name,activity,hours_played_if_play
308653033,Unturned,purchase,1
308653033,Unturned,play,0.6
308653033,theHunter,purchase,1
144004384,Dota 2,purchase,1
144004384,Dota 2,play,22
54103616,Counter-Strike Global Offensive,purchase,1
54103616,Counter-Strike Global Offensive,play,1028
54103616,Counter-Strike,purchase,1
54103616,Counter-Strike,play,1008
54103616,Left 4 Dead,purchase,1
54103616,Left 4 Dead,play,148
54103616,The Sims(TM) 3,purchase,1
54103616,The Sims(TM) 3,play,108
54103616,Team Fortress 2,purchase,1
54103616,Team Fortress 2,play,72
54103616,H1Z1,purchase,1
54103616,H1Z1,play,36
54103616,The Elder Scrolls V Skyrim,purchase,1
54103616,The Elder Scrolls V Skyrim,play,35
54103616,Counter-Strike Source,purchase,1
54103616,Counter-Strike Source,play,32
54103616,Borderlands 2,purchase,1
54103616,Borderlands 2,play,21
54103616,PAYDAY The Heist,purchase,1
54103616,PAYDAY The Heist,play,16
54103616,Left 4 Dead 2,purchase,1
54103616,Left 4 Dead 2,play,15.8
54103616,Need for Speed Undercover,purchase,1
54103616,Need for Speed Undercover,play,15.8
54103616,Battlefield Bad Company 2,purchase,1
54103616,Battlefield Bad Company 2,play,8.6
54103616,EasyAntiCheat eSports,purchase,1
54103616,EasyAntiCheat eSports,play,7.8
54103616,Portal 2,purchase,1
54103616,Portal 2,play,7.3
54103616,Dota 2,purchase,1
54103616,Dota 2,play,3.1
54103616,Alien Swarm,purchase,1
54103616,Alien Swarm,play,1.9
54103616,Terraria,purchase,1
54103616,Terraria,play,1.7
54103616,Commandos 3 Destination Berlin,purchase,1
54103616,Commandos 3 Destination Berlin,play,1.1
54103616,Age of Chivalry,purchase,1
54103616,Age of Chivalry,play,0.6
54103616,Counter-Strike Condition Zero Deleted Scenes,purchase,1
54103616,Counter-Strike Condition Zero Deleted Scenes,play,0.4
54103616,Counter-Strike Condition Zero,purchase,1
54103616,Battlefield Bad Company 2 Vietnam,purchase,1
54103616,Clans,purchase,1
54103616,Dead Island Epidemic,purchase,1
54103616,H1Z1 Test Server,purchase,1
54103616,Half-Life 2 Deathmatch,purchase,1
54103616,Half-Life 2 Lost Coast,purchase,1
54103616,Killing Floor,purchase,1
54103616,Killing Floor Mod Defence Alliance 2,purchase,1
54103616,Uncrowded,purchase,1
49769103,Call of Duty Modern Warfare 2 - Multiplayer,purchase,1
49769103,Call of Duty Modern Warfare 2 - Multiplayer,play,153
49769103,Counter-Strike Source,purchase,1
49769103,Counter-Strike Source,play,63
49769103,Call of Duty Modern Warfare 2,purchase,1
49769103,Call of Duty Modern Warfare 2,play,26
49769103,Arma 2,purchase,1
49769103,Arma 2,play,22
49769103,Left 4 Dead 2,purchase,1
49769103,Left 4 Dead 2,play,1.4
239397807,Dota 2,purchase,1
239397807,Dota 2,play,0.4
171847029,Counter-Strike Global Offensive,purchase,1
171847029,Counter-Strike Global Offensive,play,639
171847029,DayZ,purchase,1
171847029,DayZ,play,479
171847029,Heroes & Generals,purchase,1
171847029,Heroes & Generals,play,70
171847029,PAYDAY 2,purchase,1
