Timestamp,Did you enjoy STAT107?,"What grade did you receive in STAT107 (A=4.0, A-=3.67, etc)",What was your letter grade on the final,How many hours a week did you spend studying for STAT107?,Are you pursuing a +DS in Data Science at UIUC?,How many hours did you sleep per night while you taking STAT107?,What year were you in when you took STAT107,What was the highest numerical score you received on a STAT107 exam?,How many hours a week did you spend working on the homework assignments in STAT107?,How many minutes on average did it take you to complete the lab assignment in STAT107 each week?
2/22/2024 15:22:20,Yes,4,A,0,Yes,8,Freshman,100,0,20
2/22/2024 15:22:44,Yes,4,A,5,Yes,6,Freshman,100,3,30
2/22/2024 15:23:21,Yes,A-,A,3,Yes,5,Freshman,92,0.5,120
2/22/2024 15:23:22,Yes,A,A,2,No,7,Freshman,100,1,45
2/22/2024 15:23:43,Yes,4,A,1,Yes,7,Freshman,100,2,50
2/22/2024 15:24:04,Yes,4,B,4,Yes,8,Freshman,96,1.5,45
2/22/2024 15:24:04,Yes,4,A,1,Yes,6,Sophomore,100,1,60
2/22/2024 15:24:15,Yes,4,A,8,Yes,7,Freshman,100,4,45
2/22/2024 15:24:15,Yes,4,A,2,No,8,Junior,100,3,45
2/22/2024 15:24:29,Yes,4,A,3,No,8,Sophomore,100,1.5,40
2/22/2024 15:24:30,Yes,B,B,totally 4.5hours,Yes,7,Sophomore,82,4,2
2/22/2024 15:24:33,Yes,4,A,4,Yes,7,Freshman,100,2,40
2/22/2024 15:26:11,Yes,4,B,4,Yes,8,Freshman,100,1,45
2/22/2024 15:26:18,Yes,A,A,6,Yes,6,Junior,91,2,1
2/22/2024 15:27:14,Yes,A-,A,4,Yes,9,Freshman,102,4,1.5 hours
2/22/2024 15:27:39,Yes,4,A,1,Yes,8,Freshman,95,1,1
2/22/2024 15:28:41,Yes,A,A,6,No,8,Freshman,92,1.5,80
2/22/2024 15:30:53,Yes,A,A,3,No,5,Junior,100,2,120
2/22/2024 15:31:10,Yes,A,A,1,Yes,2,Freshman,100,1,20
2/22/2024 15:35:38,Yes,A,A,3,No,7,Freshman,100,1,60
2/22/2024 15:36:17,Yes,A,A,2,Yes,6,Freshman,96,1,75
2/22/2024 15:40:10,Yes,A,A,4,Yes,6,Freshman,100,4,45
2/22/2024 15:40:14,Yes,4,A,3,Yes,6.5,Freshman,100,2,1
2/22/2024 15:41:51,Yes,A,A,6,Yes,6.5,Sophomore,97,2,60
